Input,Output,Grid,Which,Index
3_1,0_1,"[[23, 12, 11, 2, 7, 29, 31, 4, 9, 18, 3, 16, 33, 27, 8, 6, 1, 34, 30, 14, 20, 28, 25, 38, 19, 13, 32, 36, 10, 17, 24, 26, 5, 37, 15, 0, 35, 22, 21, 39], [31, 9, 12, 34, 11, 23, 15, 7, 18, 16, 4, 21, 3, 33, 30, 5, 2, 6, 25, 13, 24, 1, 28, 32, 17, 36, 35, 38, 22, 20, 27, 29, 14, 10, 8, 39, 0, 19, 26, 37]]",r,18
3_1,4_1,"[[23, 12, 11, 2, 7, 29, 31, 4, 9, 18, 3, 16, 33, 27, 8, 6, 1, 34, 30, 14, 20, 28, 25, 38, 19, 13, 32, 36, 10, 17, 24, 26, 5, 37, 15, 0, 35, 22, 21, 39], [31, 9, 12, 34, 11, 23, 15, 7, 18, 16, 4, 21, 3, 33, 30, 5, 2, 6, 25, 13, 24, 1, 28, 32, 17, 36, 35, 38, 22, 20, 27, 29, 14, 10, 8, 39, 0, 19, 26, 37]]",r,27
3_1,5_2m,"[[23, 12, 11, 2, 7, 29, 31, 4, 9, 18, 3, 16, 33, 27, 8, 6, 1, 34, 30, 14, 20, 28, 25, 38, 19, 13, 32, 36, 10, 17, 24, 26, 5, 37, 15, 0, 35, 22, 21, 39], [31, 9, 12, 34, 11, 23, 15, 7, 18, 16, 4, 21, 3, 33, 30, 5, 2, 6, 25, 13, 24, 1, 28, 32, 17, 36, 35, 38, 22, 20, 27, 29, 14, 10, 8, 39, 0, 19, 26, 37]]",r,24
3_1,6_2,"[[20, 15, 23, 25, 30, 27, 10, 2, 43, 17, 18, 9, 19, 8, 46, 4, 0, 7, 21, 14, 11, 1, 5, 6, 45, 3, 38, 33, 32, 31, 29, 28, 22, 36, 34, 35, 39, 37, 42, 40, 26, 16, 41, 13, 12, 44, 24], [24, 23, 16, 27, 29, 30, 18, 4, 45, 20, 13, 0, 21, 9, 43, 19, 46, 6, 12, 8, 2, 42, 11, 5, 3, 7, 28, 35, 33, 32, 39, 14, 36, 31, 26, 38, 34, 1, 44, 37, 41, 17, 40, 15, 10, 22, 25]]",c,13
3_1,7_1,"[[26, 7, 18, 16, 17, 34, 35, 36, 0, 21, 8, 33, 20, 32, 11, 6, 4, 24, 25, 13, 29, 31, 22, 12, 19, 28, 27, 23, 9, 30, 5, 14, 1, 15, 3, 2, 10], [20, 10, 17, 9, 16, 8, 0, 1, 36, 13, 6, 30, 21, 33, 34, 4, 7, 22, 11, 25, 12, 32, 35, 5, 24, 19, 28, 27, 29, 26, 3, 23, 15, 18, 2, 31, 14]]",r,29
3_1,7_2,"[[16, 4, 24, 20, 11, 12, 9, 47, 8, 1, 39, 36, 46, 40, 42, 48, 51, 3, 30, 38, 33, 43, 27, 26, 28, 49, 31, 14, 0, 29, 44, 50, 35, 41, 32, 45, 37, 34, 25, 10, 21, 18, 19, 5, 6, 15, 22, 2, 23, 17, 7, 13], [10, 8, 38, 24, 12, 9, 16, 46, 39, 47, 1, 42, 35, 36, 19, 3, 49, 2, 26, 51, 30, 50, 33, 14, 29, 45, 28, 31, 41, 34, 43, 48, 11, 44, 0, 25, 32, 37, 27, 18, 23, 15, 21, 40, 5, 7, 13, 4, 22, 20, 6, 17]]",r,24
3_1,7_3,"[[15, 3, 7, 5, 14, 16, 37, 17, 11, 30, 36, 33, 32, 4, 23, 21, 25, 24, 20, 1, 10, 18, 0, 9, 29, 27, 28, 19, 12, 13, 2, 26, 22, 6, 35, 8, 31, 34], [8, 35, 6, 37, 7, 19, 23, 11, 20, 17, 14, 15, 33, 1, 25, 4, 24, 30, 32, 22, 0, 9, 36, 12, 18, 29, 27, 28, 13, 10, 3, 2, 31, 21, 34, 16, 26, 5]]",c,1
3_1,7_3m,"[[46, 55, 35, 24, 52, 34, 50, 56, 31, 54, 53, 51, 20, 2, 25, 22, 29, 3, 19, 40, 28, 4, 36, 15, 7, 38, 32, 26, 16, 17, 21, 0, 49, 11, 12, 5, 39, 1, 6, 14, 48, 41, 30, 44, 45, 42, 43, 9, 10, 37, 33, 23, 8, 27, 47, 13, 18], [35, 13, 18, 34, 20, 31, 52, 50, 30, 56, 54, 53, 16, 3, 27, 24, 28, 19, 36, 32, 26, 2, 38, 7, 5, 40, 29, 25, 17, 0, 15, 21, 39, 12, 8, 1, 22, 6, 4, 49, 43, 48, 33, 45, 41, 37, 11, 14, 9, 44, 55, 42, 10, 47, 46, 51, 23]]",c,40
3_1,7_5,"[[16, 4, 24, 20, 11, 12, 9, 47, 8, 1, 39, 36, 46, 40, 42, 48, 51, 3, 30, 38, 33, 43, 27, 26, 28, 49, 31, 14, 0, 29, 44, 50, 35, 41, 32, 45, 37, 34, 25, 10, 21, 18, 19, 5, 6, 15, 22, 2, 23, 17, 7, 13], [10, 8, 38, 24, 12, 9, 16, 46, 39, 47, 1, 42, 35, 36, 19, 3, 49, 2, 26, 51, 30, 50, 33, 14, 29, 45, 28, 31, 41, 34, 43, 48, 11, 44, 0, 25, 32, 37, 27, 18, 23, 15, 21, 40, 5, 7, 13, 4, 22, 20, 6, 17]]",r,25
3_1,7_5m,"[[13, 40, 15, 7, 36, 1, 0, 2, 38, 33, 28, 39, 19, 6, 30, 8, 21, 23, 24, 29, 32, 31, 34, 10, 26, 16, 35, 14, 22, 27, 11, 37, 5, 12, 17, 25, 20, 18, 9, 4, 3], [30, 3, 13, 9, 0, 6, 38, 36, 21, 1, 32, 31, 14, 7, 28, 19, 22, 34, 26, 24, 39, 23, 16, 35, 27, 18, 33, 10, 11, 25, 12, 8, 2, 20, 15, 40, 17, 29, 5, 37, 4]]",r,19
3_1,7_6,"[[10, 27, 39, 13, 11, 12, 14, 15, 29, 28, 25, 40, 22, 0, 6, 57, 7, 56, 51, 8, 43, 45, 55, 5, 33, 23, 24, 19, 32, 34, 16, 30, 1, 54, 50, 49, 38, 36, 52, 53, 35, 31, 9, 18, 44, 48, 47, 46, 42, 21, 17, 20, 2, 37, 3, 41, 4, 26], [9, 28, 41, 12, 13, 15, 16, 14, 34, 25, 29, 22, 21, 57, 5, 40, 6, 19, 0, 7, 51, 55, 56, 54, 23, 24, 3, 8, 45, 32, 33, 43, 47, 48, 1, 50, 36, 31, 49, 52, 38, 30, 18, 17, 39, 53, 46, 44, 37, 20, 11, 26, 35, 4, 2, 42, 10, 27]]",c,31
3_1,7_7m,"[[6, 8, 48, 23, 45, 17, 11, 4, 7, 36, 3, 25, 20, 21, 18, 35, 15, 34, 51, 19, 1, 33, 31, 44, 40, 47, 12, 10, 38, 14, 37, 13, 43, 42, 41, 5, 27, 39, 2, 32, 29, 50, 22, 0, 30, 28, 26, 49, 46, 9, 24, 16], [8, 24, 28, 6, 48, 11, 20, 30, 4, 35, 17, 10, 18, 19, 21, 33, 16, 37, 1, 15, 34, 27, 32, 47, 44, 39, 14, 12, 36, 13, 38, 40, 41, 45, 42, 50, 31, 43, 0, 25, 23, 46, 26, 5, 49, 7, 2, 29, 9, 3, 22, 51]]",c,48
3_1,8_2,"[[38, 25, 3, 36, 12, 17, 29, 18, 24, 28, 33, 0, 27, 35, 37, 30, 26, 11, 13, 20, 15, 1, 9, 19, 7, 14, 16, 10, 5, 22, 34, 21, 8, 31, 2, 6, 4, 23, 32], [3, 27, 34, 29, 10, 21, 28, 6, 17, 35, 0, 36, 33, 37, 24, 26, 4, 20, 19, 16, 13, 32, 22, 7, 1, 25, 15, 5, 14, 8, 23, 18, 11, 30, 38, 2, 12, 9, 31]]",c,20
3_1,8_2m,"[[32, 18, 38, 25, 3, 21, 7, 22, 20, 16, 5, 40, 4, 1, 24, 26, 28, 15, 29, 31, 30, 12, 10, 23, 14, 19, 6, 8, 17, 41, 0, 2, 42, 36, 13, 35, 9, 11, 33, 27, 39, 34, 37], [37, 23, 17, 22, 40, 30, 15, 26, 21, 25, 14, 4, 5, 3, 20, 29, 27, 39, 28, 6, 38, 18, 12, 24, 10, 16, 41, 19, 8, 42, 2, 1, 0, 7, 35, 33, 13, 9, 32, 11, 31, 36, 34]]",r,4
3_1,8_6m,"[[39, 46, 32, 33, 34, 35, 38, 51, 1, 49, 12, 31, 50, 28, 24, 29, 30, 3, 7, 42, 8, 0, 25, 45, 21, 52, 36, 11, 2, 43, 6, 48, 9, 47, 27, 44, 22, 23, 18, 4, 15, 40, 26, 16, 19, 37, 17, 14, 5, 10, 13, 20, 41], [41, 39, 38, 40, 33, 34, 35, 2, 49, 51, 28, 10, 20, 31, 23, 24, 29, 30, 0, 45, 7, 3, 26, 46, 25, 36, 21, 12, 52, 6, 8, 9, 11, 48, 47, 42, 44, 22, 16, 1, 4, 43, 27, 15, 5, 50, 18, 13, 14, 32, 17, 19, 37]]",c,36
3_1,8_7,"[[18, 21, 4, 14, 13, 37, 46, 6, 33, 39, 41, 11, 47, 40, 42, 16, 44, 12, 28, 26, 20, 9, 34, 23, 22, 27, 32, 30, 29, 8, 25, 17, 3, 36, 5, 15, 35, 31, 19, 38, 7, 10, 43, 45, 1, 0, 2, 24], [24, 19, 46, 13, 10, 32, 6, 38, 4, 44, 3, 14, 42, 33, 40, 47, 41, 2, 16, 28, 15, 26, 31, 17, 23, 30, 22, 29, 34, 20, 27, 11, 5, 37, 8, 36, 18, 12, 25, 35, 39, 9, 45, 7, 0, 43, 1, 21]]",c,16
3_1,8_12,"[[24, 27, 35, 25, 8, 30, 29, 33, 3, 5, 10, 22, 4, 18, 7, 36, 2, 14, 19, 15, 11, 13, 34, 16, 28, 6, 9, 23, 17, 31, 26, 32, 21, 20, 1, 12, 0], [20, 35, 29, 17, 25, 22, 30, 27, 5, 10, 8, 23, 2, 31, 4, 13, 3, 12, 26, 18, 9, 11, 15, 21, 34, 28, 7, 16, 14, 32, 36, 19, 24, 6, 33, 0, 1]]",r,26
3_1,8_13,"[[39, 42, 50, 41, 46, 20, 13, 52, 19, 10, 22, 37, 54, 15, 16, 8, 25, 26, 31, 55, 17, 4, 32, 14, 23, 56, 6, 34, 53, 21, 38, 29, 27, 28, 30, 36, 12, 11, 33, 24, 18, 35, 44, 7, 2, 1, 5, 3, 49, 48, 43, 40, 9, 0, 45, 47, 51], [23, 51, 45, 42, 50, 13, 12, 55, 10, 49, 39, 26, 15, 16, 17, 54, 37, 8, 32, 53, 19, 2, 34, 18, 25, 6, 4, 21, 20, 24, 35, 28, 36, 27, 29, 31, 1, 33, 30, 14, 22, 44, 43, 48, 5, 3, 7, 56, 38, 11, 40, 9, 0, 41, 47, 52, 46]]",r,22
3_1,8_19m,"[[48, 26, 16, 45, 13, 10, 15, 11, 4, 31, 12, 51, 22, 2, 27, 36, 3, 7, 17, 52, 50, 33, 44, 28, 23, 6, 39, 8, 29, 41, 43, 46, 25, 24, 20, 49, 38, 47, 9, 21, 40, 5, 42, 1, 32, 37, 34, 14, 19, 30, 0, 18, 35], [0, 29, 11, 10, 16, 13, 20, 12, 51, 27, 19, 2, 31, 47, 17, 33, 6, 3, 4, 50, 7, 28, 43, 44, 24, 23, 8, 9, 36, 49, 41, 39, 42, 25, 38, 46, 37, 48, 21, 22, 45, 52, 40, 5, 26, 34, 35, 15, 18, 32, 1, 14, 30]]",r,0
3_1,8_21m,"[[9, 27, 21, 18, 6, 12, 0, 20, 8, 19, 4, 28, 24, 1, 23, 26, 25, 15, 10, 17, 7, 11, 5, 29, 22, 16, 3, 14, 13, 2], [27, 2, 15, 19, 16, 6, 13, 22, 20, 24, 12, 0, 21, 29, 26, 25, 1, 10, 11, 18, 28, 7, 9, 3, 23, 14, 5, 17, 8, 4]]",c,26
3_1,3_1#3_1,"[[23, 12, 11, 2, 7, 29, 31, 4, 9, 18, 3, 16, 33, 27, 8, 6, 1, 34, 30, 14, 20, 28, 25, 38, 19, 13, 32, 36, 10, 17, 24, 26, 5, 37, 15, 0, 35, 22, 21, 39], [31, 9, 12, 34, 11, 23, 15, 7, 18, 16, 4, 21, 3, 33, 30, 5, 2, 6, 25, 13, 24, 1, 28, 32, 17, 36, 35, 38, 22, 20, 27, 29, 14, 10, 8, 39, 0, 19, 26, 37]]",r,0
3_1,3_1#3_1m,"[[23, 12, 11, 2, 7, 29, 31, 4, 9, 18, 3, 16, 33, 27, 8, 6, 1, 34, 30, 14, 20, 28, 25, 38, 19, 13, 32, 36, 10, 17, 24, 26, 5, 37, 15, 0, 35, 22, 21, 39], [31, 9, 12, 34, 11, 23, 15, 7, 18, 16, 4, 21, 3, 33, 30, 5, 2, 6, 25, 13, 24, 1, 28, 32, 17, 36, 35, 38, 22, 20, 27, 29, 14, 10, 8, 39, 0, 19, 26, 37]]",r,2
3_1,3_1m#3_1m,"[[39, 46, 32, 33, 34, 35, 38, 51, 1, 49, 12, 31, 50, 28, 24, 29, 30, 3, 7, 42, 8, 0, 25, 45, 21, 52, 36, 11, 2, 43, 6, 48, 9, 47, 27, 44, 22, 23, 18, 4, 15, 40, 26, 16, 19, 37, 17, 14, 5, 10, 13, 20, 41], [41, 39, 38, 40, 33, 34, 35, 2, 49, 51, 28, 10, 20, 31, 23, 24, 29, 30, 0, 45, 7, 3, 26, 46, 25, 36, 21, 12, 52, 6, 8, 9, 11, 48, 47, 42, 44, 22, 16, 1, 4, 43, 27, 15, 5, 50, 18, 13, 14, 32, 17, 19, 37]]",r,41
